Input Port;Fan IN
BADD3_32_BADD3_32_g0_auto_6.i0;1
BADD3_32_BADD3_32_g0_auto_5.i2;1
BADD3_32_BADD3_32_g0_auto_5.i1;1
BADD3_32_BADD3_32_g0_auto_5.i0;1
BADD3_32_BADD3_32_g0_auto_4.i2;1
BADD3_32_BADD3_32_g0_auto_4.i1;1
BADD3_32_BADD3_32_g0_auto_4.i0;1
BADD3_32_BADD3_32_g0_auto_3.i2;1
BADD3_32_BADD3_32_g0_auto_3.i1;1
BADD3_32_BADD3_32_g0_auto_3.i0;1
BADD3_32_BADD3_32_g0_auto_2.i2;1
BADD3_32_BADD3_32_g0_auto_2.i1;1
BADD3_32_BADD3_32_g0_auto_2.i0;1
BADD3_32_BADD3_32_g0_auto_1.i2;1
BADD3_32_BADD3_32_g0_auto_1.i1;1
BADD3_32_BADD3_32_g0_auto_1.i0;1
BADD3_32_BADD3_32_g0_auto_0.i2;1
BADD3_32_BADD3_32_g0_auto_0.i1;1
BADD3_32_BADD3_32_g0_auto_0.i0;1
